School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
COTTONWOOD CANYON ELEMENTARY,153,149,97,1,0,3,1,LAKE ELSINORE
TOWNGATE ELEMENTARY,153,142,93,11,0,0,0,MORENO VALLEY
BUBBLING WELLS ELEMENTARY,153,152,99,1,0,0,0,DESERT HOT SPRINGS
MARK TWAIN ELEMENTARY,153,143,93,7,3,0,0,RIVERSIDE
PERDEW ELEMENTARY,153,151,99,1,0,1,0,ETIWANDA
GRAND VIEW BOULEVARD ELEMENTARY,152,138,91,10,0,4,0,LOS ANGELES
DESERT ROSE ELEMENTARY,152,140,92,9,0,3,0,PALMDALE
LAS PALMAS ELEMENTARY,152,121,80,17,0,14,0,SAN CLEMENTE
HERK BOURIS ELEMENTARY,152,144,95,1,0,7,1,LAKE ELSINORE
MONTE VISTA ELEMENTARY,152,142,93,4,1,5,0,MURRIETA
CHALLENGER SCHOOL OF SPORTS AND FITNESS,152,147,97,0,3,2,2,VICTORVILLE
LEE ELEMENTARY,151,140,93,10,1,0,0,LONG BEACH
WOODCREST ELEMENTARY,151,130,86,21,0,0,0,LOS ANGELES
CHAPARRAL ELEMENTARY,151,142,94,8,0,1,0,PALMDALE
ABRAHAM LINCOLN ELEMENTARY,151,145,96,6,0,0,0,SANTA ANA
CORAL MOUNTAIN ACADEMY,151,151,100,0,0,0,0,COACHELLA
JEFFERSON ELEMENTARY,151,146,97,5,0,0,0,RIVERSIDE
DAVID W. LONG ELEMENTARY,151,145,96,0,0,6,0,FONTANA
ROOSEVELT ELEMENTARY,150,100,67,50,0,0,0,COMPTON
HADDON AVENUE ELEMENTARY,150,145,97,5,0,0,0,PACOIMA
LADERA RANCH ELEMENTARY,150,129,86,0,0,21,6,LADERA RANCH
LOMARENA ELEMENTARY,150,116,77,26,0,8,0,LAGUNA HILLS
SKY VIEW ELEMENTARY,150,147,98,3,0,0,0,PERRIS
SULTANA ELEMENTARY,150,140,93,8,0,2,0,ONTARIO
MONTE VISTA ELEMENTARY,149,144,97,4,0,1,0,LANCASTER
KING ELEMENTARY,149,117,79,32,0,0,0,LONG BEACH
POWELL ACADEMY FOR SUCCESS,149,120,81,29,0,0,0,LONG BEACH
BELVEDERE ELEMENTARY,149,149,100,0,0,0,0,LOS ANGELES
WADSWORTH AVENUE ELEMENTARY,149,84,56,65,0,0,0,LOS ANGELES
LIGGETT STREET ELEMENTARY,149,148,99,1,0,0,0,PANORAMA CITY
SUVA ELEMENTARY,149,144,97,5,0,0,0,BELL GARDENS
SUNSET LANE ELEMENTARY,149,148,99,1,0,0,0,FULLERTON
WESTPARK ELEMENTARY,149,137,92,0,0,12,0,IRVINE
HARBOUR VIEW ELEMENTARY,149,143,96,2,4,0,0,HUNTINGTON BEACH
LOWELL ELEMENTARY,149,141,95,8,0,0,0,SANTA ANA
SUSAN B. ANTHONY ELEMENTARY,149,126,85,5,4,14,8,CORONA
TRIPLE CROWN ELEMENTARY,149,147,99,2,0,0,0,PERRIS
CRESTLINE ELEMENTARY,149,132,89,15,0,2,1,BARSTOW
MISSION CREST ELEMENTARY,149,143,96,4,0,2,0,HESPERIA
ROSE AVENUE ELEMENTARY,149,148,99,1,0,0,0,OXNARD
BUDLONG AVENUE ELEMENTARY,148,65,44,83,0,0,0,LOS ANGELES
WEST ATHENS ELEMENTARY,148,76,51,72,0,0,0,LOS ANGELES
JEFFERSON ELEMENTARY,148,144,97,3,0,1,0,CORONA
LITTLE LAKE ELEMENTARY,148,142,96,3,0,3,0,HEMET
POPLAR ELEMENTARY,148,147,99,1,0,0,0,FONTANA
CAROLDALE LEARNING COMMUNITY,147,109,74,38,0,0,0,CARSON
ONE HUNDRED EIGHTY-SIXTH STREET ELEMENTARY,147,61,42,86,0,0,0,GARDENA
VISTA DEL MAR ELEMENTARY,147,82,56,59,0,6,0,SAN CLEMENTE
ANDREW JACKSON ELEMENTARY,147,139,95,8,0,0,0,SANTA ANA
SUNNYMEAD ELEMENTARY,147,144,98,1,2,0,0,MORENO VALLEY
WILLIAM ANDERSON ELEMENTARY,146,140,96,6,0,0,0,LAWNDALE
BURBANK ELEMENTARY,146,140,96,4,0,2,2,LONG BEACH
SIXTY-EIGHTH STREET ELEMENTARY,146,69,47,77,0,0,0,LOS ANGELES
WISDOM ELEMENTARY,146,144,99,0,0,2,0,LOS ANGELES
LONGDEN ELEMENTARY,146,138,95,8,0,0,0,TEMPLE CITY
ESPERANZA ELEMENTARY,146,137,94,4,0,5,3,PALMDALE
SUNKIST ELEMENTARY,146,143,98,3,0,0,0,ANAHEIM
MARTIN R. HENINGER ELEMENTARY,146,127,87,19,0,0,0,SANTA ANA
HANSEN ELEMENTARY,146,128,88,18,0,0,0,ANAHEIM
ETIWANDA COLONY ELEMENTARY,146,139,95,2,0,5,0,ETIWANDA
BRENTWOOD ELEMENTARY,146,137,94,7,0,2,1,VICTORVILLE
EMILIE RITCHEN ELEMENTARY,146,144,99,2,0,0,0,OXNARD
COLUMBUS ELEMENTARY,145,92,63,51,0,2,0,GLENDALE
DISCOVERY,145,143,99,1,1,0,0,LANCASTER
CANOGA PARK ELEMENTARY,145,141,97,3,0,1,0,CANOGA PARK
WILSON ELEMENTARY,145,130,90,15,0,0,0,SANTA ANA
RAILROAD CANYON ELEMENTARY,145,139,96,4,0,2,2,LAKE ELSINORE
SUNNY SANDS ELEMENTARY,145,140,97,5,0,0,0,CATHEDRAL CITY
BELLA VISTA ELEMENTARY,145,141,97,4,0,0,0,DESERT HOT SPRINGS
HYATT ELEMENTARY,145,125,86,20,0,0,0,SAN JACINTO
LOREN MILLER ELEMENTARY,144,135,94,9,0,0,0,LOS ANGELES
SANTA MONICA BOULEVARD COMMUNITY CHARTER,144,130,90,14,0,0,0,LOS ANGELES
BRYSON AVENUE ELEMENTARY,144,97,67,47,0,0,0,SOUTH GATE
HARRY BRIDGES SPAN,144,75,52,69,0,0,0,WILMINGTON
WILLARD ELEMENTARY,144,113,78,31,0,0,0,PASADENA
VAN BUREN ELEMENTARY,144,129,90,7,1,7,0,PLACENTIA
THEODORE ROOSEVELT ELEMENTARY,144,137,95,7,0,0,0,SANTA ANA
LOUIS VANDERMOLEN FUNDAMENTAL ELEMENTARY,144,134,93,7,0,3,1,JURUPA VALLEY
FREEDOM CREST ELEMENTARY,144,141,98,0,0,3,0,MENIFEE
MEAD VALLEY ELEMENTARY,144,139,97,4,1,0,0,PERRIS
MARIPOSA ELEMENTARY,144,135,94,9,0,0,0,ONTARIO
LINCOLN ELEMENTARY,144,138,96,3,0,3,0,SAN BERNARDINO
INLAND LEADERS CHARTER,144,121,84,0,1,22,0,YUCAIPA
ERNEST R. GEDDES ELEMENTARY,143,139,97,2,0,2,0,BALDWIN PARK
MULBERRY ELEMENTARY,143,134,94,8,1,0,0,WHITTIER
DENKER AVENUE ELEMENTARY,143,119,83,23,1,0,0,GARDENA
WASHINGTON ELEMENTARY,143,138,97,5,0,0,0,MONTEBELLO
PARKVIEW ELEMENTARY,143,142,99,0,1,0,0,EL MONTE
SAN JUAN ELEMENTARY,143,110,77,13,2,18,18,SAN JUAN CAPISTRANO
MANUEL ESQUEDA ELEMENTARY,143,138,97,5,0,0,0,SANTA ANA
MESA ELEMENTARY,142,136,96,5,0,1,1,WEST COVINA
DR. OWEN LLOYD KNOX ELEMENTARY,142,125,88,17,0,0,0,LOS ANGELES
JUDITH F. BACA ARTS ACADEMY,142,110,77,32,0,0,0,LOS ANGELES
TWEEDY ELEMENTARY,142,88,62,54,0,0,0,SOUTH GATE
MEYLER STREET ELEMENTARY,142,91,64,51,0,0,0,TORRANCE
WALTERIA ELEMENTARY,142,131,92,11,0,0,0,TORRANCE
HENRY -PATRICK- ELEMENTARY,142,130,92,12,0,0,0,ANAHEIM
PATTON ELEMENTARY,142,134,94,4,0,4,1,GARDEN GROVE
