School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
TULSA STREET ELEMENTARY,98,95,97,1,0,2,0,GRANADA HILLS
HOBART BOULEVARD ELEMENTARY,98,98,100,0,0,0,0,LOS ANGELES
ONE HUNDRED NINTH STREET ELEMENTARY,98,16,16,82,0,0,0,LOS ANGELES
RIO VISTA ELEMENTARY,98,85,87,9,0,4,0,NORTH HOLLYWOOD
HILLERY T. BROADOUS ELEMENTARY,98,97,99,0,0,1,1,PACOIMA
EL PORTAL ELEMENTARY,98,97,99,0,0,1,0,LA HABRA
NEWHALL ELEMENTARY,98,98,100,0,0,0,0,NEWHALL
STEVENSON RANCH ELEMENTARY,98,83,85,13,0,2,0,STEVENSON RANCH
LORETTA LAMPTON ELEMENTARY,98,92,94,6,0,0,0,NORWALK
SILVER SPUR ELEMENTARY,98,85,87,5,0,8,0,RANCHO PALOS VERDES
HOLLYDALE,98,98,100,0,0,0,0,SOUTH GATE
MADISON ELEMENTARY,98,97,99,1,0,0,0,POMONA
WALNUT ELEMENTARY,98,97,99,1,0,0,0,WALNUT
JAMES A. WHITAKER ELEMENTARY,98,95,97,2,0,1,0,BUENA PARK
CLARA J. KING ELEMENTARY,98,86,88,11,0,1,0,CYPRESS
STEVE LUTHER ELEMENTARY,98,67,68,31,0,0,0,LA PALMA
BRYANT ELEMENTARY,98,98,100,0,0,0,0,GARDEN GROVE
MARINERS ELEMENTARY,98,82,84,6,0,10,0,NEWPORT BEACH
JAMES MADISON ELEMENTARY,98,95,97,1,0,2,0,INDIO
TEMECULA ELEMENTARY,98,98,100,0,0,0,0,TEMECULA
VINEYARD ELEMENTARY,98,95,97,3,0,0,0,ONTARIO
CAMPUS CANYON ELEMENTARY,98,92,94,1,0,5,1,MOORPARK
MARINA WEST ELEMENTARY,98,93,95,5,0,0,0,OXNARD
RIO DEL NORTE,98,73,74,24,1,0,0,OXNARD
WILL ROGERS ELEMENTARY,98,93,95,0,0,5,2,VENTURA
CARVER -CHARLES J.- ELEMENTARY,97,87,90,10,0,0,0,CERRITOS
GONSALVES -JOE A.- ELEMENTARY,97,92,95,4,0,1,0,CERRITOS
UNSWORTH ELEMENTARY,97,88,91,9,0,0,0,DOWNEY
MARIPOSA ELEMENTARY,97,90,93,4,0,3,2,LANCASTER
TINCHER PREPARATORY,97,87,90,9,0,1,1,LONG BEACH
HOPE STREET ELEMENTARY,97,75,77,22,0,0,0,HUNTINGTON PARK
ESHELMAN AVENUE ELEMENTARY,97,75,77,22,0,0,0,LOMITA
EXTERA PUBLIC SCHOOL NO. 2,97,92,95,4,0,1,0,LOS ANGELES
NORWOOD STREET ELEMENTARY,97,11,11,86,0,0,0,LOS ANGELES
JEFFERSON ELEMENTARY,97,93,96,0,0,4,0,REDONDO BEACH
LAS FLORES ELEMENTARY,97,80,82,3,0,14,6,RANCHO SANTA MARGARITA
GISLER -ROBERT- ELEMENTARY,97,93,96,1,0,3,0,FOUNTAIN VALLEY
ROSITA ELEMENTARY,97,96,99,1,0,0,0,SANTA ANA
CORONA-NORCO ALTERNATIVE,97,92,95,4,0,1,0,CORONA
VICENTIA ELEMENTARY,97,92,95,4,0,1,0,CORONA
REACH LEADERSHIP ACADEMY,97,91,94,2,0,4,1,RIVERSIDE
THEODORE VICK ELEMENTARY,97,82,85,13,0,2,2,ADELANTO
ALTA LOMA ELEMENTARY,97,94,97,0,0,3,0,ALTA LOMA
SYCAMORE ROCKS ELEMENTARY,97,75,77,17,0,5,1,APPLE VALLEY
RANDALL PEPPER ELEMENTARY,97,97,100,0,0,0,0,FONTANA
CARMEL ELEMENTARY,97,93,96,2,0,2,0,HESPERIA
HIGHLAND GROVE ELEMENTARY,97,93,96,2,0,2,1,HIGHLAND
PRESTON ELEMENTARY,97,93,96,3,1,0,0,RIALTO
LA MARIPOSA,97,83,86,11,0,3,0,CAMARILLO
BURBANK -LUTHER- ELEMENTARY,96,87,91,8,0,1,0,ARTESIA
CLIFFORD D. MURRAY ELEMENTARY,96,91,95,5,0,0,0,AZUSA
ARMA J. SHULL ELEMENTARY,96,90,94,4,0,2,1,SAN DIMAS
LAUREL ELEMENTARY,96,95,99,1,0,0,0,WHITTIER
BALDWIN ACADEMY,96,96,100,0,0,0,0,LA PUENTE
CELERITY SIRIUS CHARTER,96,94,98,2,0,0,0,COMPTON
FAIRBURN AVENUE ELEMENTARY,96,78,81,18,0,0,0,LOS ANGELES
MAR VISTA ELEMENTARY,96,82,85,8,0,6,0,LOS ANGELES
MARIPOSA-NABI PRIMARY CENTER,96,85,89,11,0,0,0,LOS ANGELES
BLYTHE STREET ELEMENTARY,96,96,100,0,0,0,0,RESEDA
JERRY VOORHIS ELEMENTARY,96,94,98,2,0,0,0,EL MONTE
HARRY WIRTZ ELEMENTARY,96,89,93,7,0,0,0,PARAMOUNT
MARENGO ELEMENTARY,96,91,95,2,0,3,0,SOUTH PASADENA
EDISON ELEMENTARY,96,89,93,4,0,3,0,TORRANCE
COLLEGE PARK ELEMENTARY,96,92,96,0,0,4,0,COSTA MESA
GOLDEN VIEW ELEMENTARY,96,88,92,2,0,6,0,HUNTINGTON BEACH
CANYON RIM ELEMENTARY,96,86,90,2,4,4,0,ANAHEIM
TUSTIN MEMORIAL ELEMENTARY,96,94,98,0,0,2,0,SANTA ANA
JAMES MONROE ELEMENTARY,96,94,98,0,0,2,0,BERMUDA DUNES
SERRANO ELEMENTARY,96,94,98,1,0,1,1,MORENO VALLEY
MARGARET WHITE ELEMENTARY,96,88,92,6,0,2,0,BLYTHE
ROMOLAND ELEMENTARY,96,96,100,0,0,0,0,ROMOLAND
ACADEMY FOR ACADEMIC EXCELLENCE,96,88,92,6,0,2,1,APPLE VALLEY
VANGUARD PREPARATORY,96,95,99,0,0,1,0,APPLE VALLEY
YUCCA LOMA ELEMENTARY,96,82,85,13,0,1,0,APPLE VALLEY
LENWOOD ELEMENTARY,96,90,94,6,0,0,0,LENWOOD
DICKSON ELEMENTARY,96,95,99,1,0,0,0,CHINO
GLENMEADE ELEMENTARY,96,92,96,1,0,3,1,CHINO HILLS
MICHAEL G. WICKMAN ELEMENTARY,96,93,97,0,0,3,0,CHINO HILLS
MONTERA ELEMENTARY,96,96,100,0,0,0,0,MONTCLAIR
JUDSON & BROWN ELEMENTARY,96,91,95,2,0,3,0,REDLANDS
SMILEY ELEMENTARY,96,86,90,3,1,6,3,REDLANDS
GEORGIA MORRIS ELEMENTARY,96,96,100,0,0,0,0,COLTON
GEORGE BROWN JR. ELEMENTARY,96,89,93,2,0,5,0,SAN BERNARDINO
HARDY BROWN COLLEGE PREP,96,92,96,0,0,4,0,SAN BERNARDINO
GREEN TREE EAST ELEMENTARY,96,86,90,10,0,0,0,VICTORVILLE
GLENWOOD ELEMENTARY,96,73,76,23,0,0,0,THOUSAND OAKS
RIO REAL ELEMENTARY,96,79,82,17,0,0,0,OXNARD
BLANCHARD ELEMENTARY,96,88,92,8,0,0,0,SANTA PAULA
MOUND ELEMENTARY,96,94,98,0,0,2,0,VENTURA
WITTMANN -HELEN- ELEMENTARY,95,88,93,7,0,0,0,CERRITOS
PALMS ELEMENTARY,95,94,99,1,0,0,0,LAKEWOOD
DE ANZA ELEMENTARY,95,93,98,0,0,2,2,BALDWIN PARK
ROWLAND AVENUE ELEMENTARY,95,92,97,3,0,0,0,WEST COVINA
SUMAC ELEMENTARY,95,92,97,2,0,1,0,AGOURA
GRANADA COMMUNITY CHARTER,95,87,92,8,0,0,0,GRANADA HILLS
HARRISON STREET ELEMENTARY,95,35,37,60,0,0,0,LOS ANGELES
KENTER CANYON ELEMENTARY,95,66,69,13,0,16,0,LOS ANGELES
CARLOS SANTANA ARTS ACADEMY,95,91,96,4,0,0,0,NORTH HILLS
CABRILLO AVENUE ELEMENTARY,95,70,74,23,0,2,1,SAN PEDRO
JANIE P. ABBOTT ELEMENTARY,95,91,96,4,0,0,0,LYNWOOD
JOSHUA HILLS ELEMENTARY,95,93,98,2,0,0,0,PALMDALE
WESLEY GAINES,95,95,100,0,0,0,0,PARAMOUNT
PLUM CANYON ELEMENTARY,95,85,89,3,0,7,1,SAUGUS
COLLEGE VIEW ELEMENTARY,95,84,88,8,0,3,0,HUNTINGTON BEACH
FLETCHER ELEMENTARY,95,91,96,1,0,3,0,ORANGE
MYFORD ELEMENTARY,95,90,95,0,0,5,0,IRVINE
CARRILLO RANCH ELEMENTARY,95,94,99,1,0,0,0,INDIO
WILLIAM COLLIER ELEMENTARY,95,92,97,0,1,2,0,WILDOMAR
PERRIS ELEMENTARY,95,93,98,0,0,2,2,PERRIS
BENJAMIN FRANKLIN ELEMENTARY,95,91,96,3,0,1,0,RIVERSIDE
PATRICIA BEATTY ELEMENTARY,95,94,99,0,0,1,0,RIVERSIDE
SAN JACINTO ELEMENTARY,95,86,91,9,0,0,0,SAN JACINTO
PAUBA VALLEY ELEMENTARY,95,89,94,2,2,2,0,TEMECULA
DATE ELEMENTARY,95,94,99,1,0,0,0,FONTANA
CONDOR ELEMENTARY,95,93,98,1,0,1,0,TWENTYNINE PALMS
MONTE VISTA ELEMENTARY,95,95,100,0,0,0,0,MONTCLAIR
WEST PALMS CONSERVATORY,95,94,99,1,0,0,0,VICTORVILLE
PARKVIEW ELEMENTARY,95,92,97,3,0,0,0,PORT HUENEME
MOUNTAIN MEADOWS ELEMENTARY,95,90,95,1,0,4,4,MOORPARK
ALBERT BAXTER ELEMENTARY,94,88,94,5,1,0,0,BELLFLOWER
EMERSON -RALPH WALDO- ELEMENTARY,94,90,96,3,0,1,0,ROSEMEAD
BENJAMIN FRANKLIN ELEMENTARY,94,92,98,0,0,2,0,GLENDALE
SELLERS ELEMENTARY,94,89,95,2,0,3,3,GLENDORA
MARK TWAIN ELEMENTARY,94,93,99,1,0,0,0,LAWNDALE
ALVARADO ELEMENTARY,94,93,99,1,0,0,0,SIGNAL HILL
HUBBARD STREET ELEMENTARY,94,85,90,8,0,1,0,SYLMAR
LINDBERGH ELEMENTARY,94,68,72,26,0,0,0,LYNWOOD
DR. J. MICHAEL MCGRATH ELEMENTARY,94,92,98,2,0,0,0,NEWHALL
WILEY CANYON ELEMENTARY,94,81,86,12,0,1,1,NEWHALL
POINT VICENTE ELEMENTARY,94,92,98,0,0,2,0,RANCHO PALOS VERDES
SOLEADO ELEMENTARY,94,89,95,4,0,1,1,RANCHO PALOS VERDES
MAJOR LYNN MOKLER,94,77,82,17,0,0,0,PARAMOUNT
NORTH PARK ELEMENTARY,94,89,95,0,1,4,0,VALENCIA
ANZA ELEMENTARY,94,84,89,9,0,1,1,TORRANCE
CASTLE ROCK ELEMENTARY,94,93,99,1,0,0,0,DIAMOND BAR
LOARA ELEMENTARY,94,94,100,0,0,0,0,ANAHEIM
PRICE -ADELAIDE- ELEMENTARY,94,92,98,2,0,0,0,ANAHEIM
STODDARD -ALEXANDER J.- ELEMENTARY,94,93,99,1,0,0,0,ANAHEIM
NEWLAND -WILLIAM T.- ELEMENTARY,94,92,98,0,0,2,0,HUNTINGTON BEACH
COLLEGE PARK ELEMENTARY,94,89,95,0,0,5,0,IRVINE
CORDILLERA ELEMENTARY,94,91,97,2,0,1,0,MISSION VIEJO
PORTOLA HILLS ELEMENTARY,94,72,77,15,0,7,7,TRABUCO CANYON
WILLIAM MCKINLEY ELEMENTARY,94,91,97,1,0,2,2,CORONA
ADAMS ELEMENTARY,94,84,89,10,0,0,0,RIVERSIDE
BEAR GULCH ELEMENTARY,94,93,99,1,0,0,0,RANCHO CUCAMONGA
EAGLE CANYON ELEMENTARY,94,90,96,1,0,3,1,CHINO HILLS
VICTORIA ELEMENTARY,94,88,94,5,0,1,1,SAN BERNARDINO
BROOKSIDE ELEMENTARY,94,86,91,6,0,2,0,OAK PARK
BIG SPRINGS ELEMENTARY,94,90,96,4,0,0,0,SIMI VALLEY
HIGHLAND OAKS ELEMENTARY,93,81,87,4,2,6,0,ARCADIA
HOLLY AVENUE ELEMENTARY,93,91,98,1,0,1,0,ARCADIA
HUGO REID ELEMENTARY,93,90,97,0,0,3,1,ARCADIA
MARGARET HEATH ELEMENTARY,93,88,95,4,0,1,0,BALDWIN PARK
CASTAIC ELEMENTARY,93,87,94,3,0,3,0,CASTAIC
LIVE OAK ELEMENTARY,93,92,99,0,0,1,1,CASTAIC
VALENCIA ELEMENTARY,93,92,99,0,0,1,0,PICO RIVERA
HORACE MANN ELEMENTARY,93,91,98,1,0,1,1,GLENDALE
LASSALETTE,93,93,100,0,0,0,0,LA PUENTE
NINETY-NINTH STREET ELEMENTARY,93,40,43,53,0,0,0,LOS ANGELES
ROSCOMARE ROAD ELEMENTARY,93,81,87,11,0,1,1,LOS ANGELES
DARBY AVENUE CHARTER,93,91,98,1,0,1,0,NORTHRIDGE
PARK WESTERN PLACE ELEMENTARY,93,39,42,54,0,0,0,SAN PEDRO
MAXSON ELEMENTARY,93,90,97,3,0,0,0,EL MONTE
MONTE VISTA ELEMENTARY,93,92,99,1,0,0,0,EL MONTE
VALENCIA VALLEY ELEMENTARY,93,86,92,3,0,4,0,VALENCIA
HAMILTON ELEMENTARY,93,75,81,17,0,1,0,PASADENA
RANCHO VISTA ELEMENTARY,93,89,96,1,0,3,0,PALMDALE
ORANGE COUNTY EDUCATIONAL ARTS ACADEMY,93,89,96,0,0,4,0,SANTA ANA
VICTORIA ELEMENTARY,93,90,97,1,1,1,0,RIVERSIDE
MOUNTAIN VIEW ELEMENTARY,93,90,97,2,0,1,0,ONTARIO
JUAN LAGUNAS SORIA ELEMENTARY,93,93,100,0,0,0,0,OXNARD
CAMARILLO HEIGHTS ELEMENTARY,93,75,81,9,0,9,0,CAMARILLO
EASTSIDE ELEMENTARY,92,90,98,2,0,0,0,LANCASTER
DOMINGUEZ ELEMENTARY,92,51,55,41,0,0,0,CARSON
CANFIELD AVENUE ELEMENTARY,92,76,83,14,0,2,0,LOS ANGELES
CITIZENS OF THE WORLD 2,92,61,66,24,0,7,0,LOS ANGELES
GRANT ELEMENTARY,92,29,32,63,0,0,0,LOS ANGELES
LASSEN ELEMENTARY,92,86,93,6,0,0,0,NORTH HILLS
SYLMAR ELEMENTARY,92,90,98,2,0,0,0,SYLMAR
CHANDLER LEARNING ACADEMY,92,83,90,4,0,5,2,VAN NUYS
GRANT ELEMENTARY,92,83,90,2,0,7,0,SANTA MONICA
VALLEY VIEW ELEMENTARY,92,83,90,6,0,3,0,NEWHALL
MADISON -JAMES- ELEMENTARY,92,91,99,1,0,0,0,ANAHEIM
CLARENCE LOBO ELEMENTARY,92,58,63,29,5,0,0,SAN CLEMENTE
CAPISTRANO CONNECTIONS ACADEMY CHARTER,92,69,75,6,0,17,12,SAN JUAN CAPISTRANO
LEO CARRILLO ELEMENTARY,92,88,96,4,0,0,0,WESTMINSTER
ADAMS ELEMENTARY,92,91,99,1,0,0,0,SANTA ANA
CARL HARVEY ELEMENTARY,92,92,100,0,0,0,0,SANTA ANA
ST. EDWARD THE CONFESSOR PARISH,92,74,80,5,0,13,0,DANA POINT
PROMENADE ELEMENTARY,92,87,95,3,0,2,0,CORONA
ALLAN ORRENMAA ELEMENTARY,92,84,91,8,0,0,0,RIVERSIDE
COLLETT ELEMENTARY,92,89,97,3,0,0,0,RIVERSIDE
MAGNOLIA ELEMENTARY,92,88,96,4,0,0,0,RIVERSIDE
ESTUDILLO ELEMENTARY,92,89,97,3,0,0,0,SAN JACINTO
SIERRA VISTA ELEMENTARY,92,89,97,3,0,0,0,PERRIS
SHERIDAN WAY ELEMENTARY,92,83,90,9,0,0,0,VENTURA
OAK MESA ELEMENTARY,91,89,98,0,2,0,0,LA VERNE
EMERSON ELEMENTARY,91,88,97,3,0,0,0,COMPTON
MERWIN ELEMENTARY,91,77,85,13,0,1,1,COVINA
ALAMEDA ELEMENTARY,91,87,96,4,0,0,0,DOWNEY
DOLORES HUERTA ELEMENTARY,91,91,100,0,0,0,0,LENNOX
AURORA ELEMENTARY,91,91,100,0,0,0,0,LOS ANGELES
DAYTON HEIGHTS ELEMENTARY,91,37,41,54,0,0,0,LOS ANGELES
GRIFFIN AVENUE ELEMENTARY,91,80,88,11,0,0,0,LOS ANGELES
KINGSLEY ELEMENTARY,91,83,91,6,0,2,0,LOS ANGELES
GARDEN GROVE ELEMENTARY,91,91,100,0,0,0,0,RESEDA
FIELD -EUGENE- ELEMENTARY,91,78,86,13,0,0,0,PASADENA
VALLEY VIEW ELEMENTARY,91,83,91,2,0,6,2,LANCASTER
ROOSEVELT -THEODORE- ELEMENTARY,91,86,95,4,0,1,1,ANAHEIM
BREA COUNTRY HILLS ELEMENTARY,91,79,87,10,0,2,0,BREA
JOHN MALCOM ELEMENTARY,91,57,63,19,0,15,0,LAGUNA NIGUEL
RUNNING SPRINGS ELEMENTARY,91,75,82,9,2,5,0,ANAHEIM
WALKER ELEMENTARY,91,90,99,1,0,0,0,SANTA ANA
VAN BUREN ELEMENTARY,91,86,95,5,0,0,0,JURUPA VALLEY
MORENO ELEMENTARY,91,78,86,13,0,0,0,MORENO VALLEY
CAHUILLA ELEMENTARY,91,78,86,12,1,0,0,PALM SPRINGS
WOODCREST ELEMENTARY,91,91,100,0,0,0,0,RIVERSIDE
BOULDER RIDGE ELEMENTARY,91,91,100,0,0,0,0,MENIFEE
MANUEL L. REAL ELEMENTARY,91,90,99,1,0,0,0,PERRIS
VAL VERDE ELEMENTARY,91,90,99,0,0,1,0,PERRIS
BALDWIN LANE ELEMENTARY,91,59,65,18,7,7,0,BIG BEAR CITY
CARLETON P. LIGHTFOOT ELEMENTARY,91,83,91,2,0,6,0,ALTA LOMA
CANYON CREST ELEMENTARY,91,90,99,1,0,0,0,FONTANA
TOPAZ PREPARATORY ACADEMY,91,90,99,0,0,1,0,HESPERIA
BEMIS ELEMENTARY,91,91,100,0,0,0,0,RIALTO
BELVEDERE ELEMENTARY,91,86,95,5,0,0,0,HIGHLAND
WARM SPRINGS ELEMENTARY,91,87,96,4,0,0,0,SAN BERNARDINO
SYCAMORE CANYON,91,83,91,0,0,8,8,NEWBURY PARK
FLORY ACADEMY OF SCIENCES AND TECHNOLOGY,91,88,97,3,0,0,0,MOORPARK
OAK HILLS ELEMENTARY,91,81,89,5,0,5,0,OAK PARK
LAS POSAS ELEMENTARY,91,91,100,0,0,0,0,CAMARILLO
ELLIOTT -WILLIAM F- ELEMENTARY,90,79,88,11,0,0,0,ARTESIA
BALDWIN STOCKER ELEMENTARY,90,89,99,0,0,1,0,ARCADIA
SCOTT AVENUE ELEMENTARY,90,88,98,0,1,1,0,WHITTIER
POTRERO ELEMENTARY,90,77,86,13,0,0,0,EL MONTE
THOMAS JEFFERSON ELEMENTARY,90,70,78,20,0,0,0,GLENDALE
CHAVEZ ELEMENTARY,90,86,96,4,0,0,0,LONG BEACH
EAGLE ROCK ELEMENTARY,90,66,73,23,0,1,0,LOS ANGELES
RFK COMMUNITY SCHOOLS-NEW OPEN WORLD ACADEMY K-12,90,31,34,59,0,0,0,LOS ANGELES
LORNE STREET ELEMENTARY,90,86,96,4,0,0,0,NORTHRIDGE
LIBERTY BOULEVARD ELEMENTARY,90,63,70,27,0,0,0,SOUTH GATE
EL DORADO AVENUE ELEMENTARY,90,83,92,7,0,0,0,SYLMAR
WASHINGTON ELEMENTARY,90,85,94,5,0,0,0,LYNWOOD
DON BENITO FUNDAMENTAL,90,86,96,0,0,4,0,PASADENA
SULPHUR SPRINGS COMMUNITY ELEMENTARY,90,70,78,18,0,2,0,CANYON COUNTRY
CANYON VISTA ELEMENTARY,90,89,99,0,0,1,1,ALISO VIEJO
CROWN VALLEY ELEMENTARY,90,51,57,32,0,7,1,LAGUNA NIGUEL
HUNTINGTON SEACLIFF ELEMENTARY,90,80,89,0,0,10,8,HUNTINGTON BEACH
HEROES ELEMENTARY,90,80,89,9,0,1,0,SANTA ANA
MONROE ELEMENTARY,90,80,89,10,0,0,0,SANTA ANA
WINCHESTER ELEMENTARY,90,88,98,0,0,2,0,WINCHESTER
PERALTA ELEMENTARY,90,87,97,2,0,1,0,JURUPA VALLEY
HARRISON ELEMENTARY,90,85,94,1,0,4,0,RIVERSIDE
MONTARA ELEMENTARY,90,87,97,1,0,2,1,BARSTOW
DO_�_�A MERCED ELEMENTARY,90,87,97,1,0,2,0,RANCHO CUCAMONGA
HOWARD CATTLE ELEMENTARY,90,82,91,8,0,0,0,CHINO
RECHE CANYON ELEMENTARY,90,83,92,4,1,2,0,COLTON
KINGSBURY ELEMENTARY,90,78,87,5,0,7,4,REDLANDS
KELLEY ELEMENTARY,90,90,100,0,0,0,0,RIALTO
MORGAN ELEMENTARY,90,89,99,0,1,0,0,RIALTO
RILEY ELEMENTARY,90,90,100,0,0,0,0,SAN BERNARDINO
LANG RANCH,90,82,91,3,0,5,0,THOUSAND OAKS
KENMORE ELEMENTARY,89,88,99,0,0,1,1,BALDWIN PARK
ERNIE PYLE ELEMENTARY,89,88,99,0,0,1,0,BELLFLOWER
LAWRENCE T. MAGEE ELEMENTARY,89,87,98,0,0,2,0,PICO RIVERA
RIVERA ELEMENTARY,89,85,96,3,0,1,0,PICO RIVERA
WHITE OAK ELEMENTARY,89,83,93,2,0,4,1,WESTLAKE VILLAGE
HOLMES ELEMENTARY,89,88,99,0,0,1,0,LAKEWOOD
DANUBE AVENUE ELEMENTARY,89,89,100,0,0,0,0,GRANADA HILLS
RAYMOND AVENUE ELEMENTARY,89,7,8,82,0,0,0,LOS ANGELES
BECKFORD CHARTER FOR ENRICHED STUDIES,89,78,88,9,0,2,0,NORTHRIDGE
AEOLIAN ELEMENTARY,89,87,98,2,0,0,0,WHITTIER
PACIFIC ELEMENTARY,89,85,96,3,0,1,0,MANHATTAN BEACH
ABRAHAM LINCOLN,89,86,97,3,0,0,0,PARAMOUNT
HIGHLANDS ELEMENTARY,89,76,85,10,0,3,1,SAUGUS
WOODBURY ELEMENTARY,89,88,99,1,0,0,0,GARDEN GROVE
ALDERWOOD ELEMENTARY,89,84,94,1,1,3,0,IRVINE
TURTLE ROCK ELEMENTARY,89,84,94,0,0,5,0,IRVINE
CAMBRIDGE ELEMENTARY,89,89,100,0,0,0,0,ORANGE
EASTWOOD ELEMENTARY,89,80,90,2,0,7,3,WESTMINSTER
ST. PIUS V CATHOLIC SCHOOL,89,72,81,16,0,1,0,BUENA PARK
VALLEY VIEW ELEMENTARY,89,80,90,4,0,5,0,RIVERSIDE
THEODORE ROOSEVELT ELEMENTARY,89,87,98,2,0,0,0,INDIO
ALCOTT ELEMENTARY,89,88,99,0,0,1,0,RIVERSIDE
RANCHO ELEMENTARY,89,80,90,4,3,2,1,TEMECULA
DEER CANYON ELEMENTARY,89,84,94,1,2,2,0,ALTA LOMA
RUTH GRIMES ELEMENTARY,89,88,99,1,0,0,0,BLOOMINGTON
BOYD ELEMENTARY,89,89,100,0,0,0,0,RIALTO
CYPRESS ELEMENTARY,89,87,98,2,0,0,0,HIGHLAND
PHELAN ELEMENTARY,89,80,90,6,0,3,0,PHELAN
UPLAND ELEMENTARY,89,83,93,4,0,2,0,UPLAND
SAN CAYETANO ELEMENTARY,89,82,92,5,1,1,0,FILLMORE
WALNUT CANYON ELEMENTARY,89,83,93,1,0,5,0,MOORPARK
FURGESON -VENN W.- ELEMENTARY,88,82,93,6,0,0,0,HAWAIIAN GARDENS
CENTRAL ELEMENTARY,88,87,99,1,0,0,0,BALDWIN PARK
CHARLES BURSCH ELEMENTARY,88,85,97,1,0,2,1,BALDWIN PARK
MURPHY RANCH ELEMENTARY,88,84,95,1,0,3,0,WHITTIER
LA CANADA ELEMENTARY,88,85,97,0,1,2,0,LA CANADA
SUNNYDALE ELEMENTARY,88,86,98,0,0,2,0,LANCASTER
PARK AVENUE ELEMENTARY,88,50,57,38,0,0,0,CUDAHY
DR. JAMES EDWARD JONES PRIMARY CENTER,88,7,8,81,0,0,0,LOS ANGELES
WESTSIDE INNOVATIVE SCHOOL HOUSE,88,86,98,1,0,1,0,LOS ANGELES
MAURICE SENDAK ELEMENTARY,88,83,94,5,0,0,0,NORTH HOLLYWOOD
SHIRLEY AVENUE ELEMENTARY,88,70,80,15,0,3,0,RESEDA
FRIES AVENUE ELEMENTARY,88,82,93,5,1,0,0,WILMINGTON
IVY ACADEMIA,88,48,55,39,0,1,0,WOODLAND HILLS
BANDINI ELEMENTARY,88,87,99,0,0,1,0,CITY OF COMMERCE
MONTEBELLO PARK ELEMENTARY,88,87,99,1,0,0,0,LOS ANGELES
PEACHLAND AVENUE ELEMENTARY,88,67,76,21,0,0,0,NEWHALL
CAPTAIN RAYMOND COLLINS,88,66,75,21,0,1,0,LONG BEACH
TIJERAS CREEK ELEMENTARY,88,72,82,0,0,16,14,RANCHO SANTA MARGARITA
MCPHERSON MAGNET,88,83,94,1,1,3,1,ORANGE
DEL LAGO ELEMENTARY,88,77,88,7,0,4,1,MISSION VIEJO
JEANE THORMAN ELEMENTARY,88,88,100,0,0,0,0,TUSTIN
FINLEY ELEMENTARY,88,84,95,3,0,1,0,WESTMINSTER
DWIGHT EISENHOWER ELEMENTARY,88,84,95,4,0,0,0,INDIO
SENECA ELEMENTARY,88,84,95,3,0,1,1,MORENO VALLEY
E. HALE CURRAN ELEMENTARY,88,84,95,1,0,3,0,MURRIETA
NEWMAN ELEMENTARY,88,84,95,1,0,3,0,CHINO
GRANDVIEW ELEMENTARY,88,79,90,2,0,7,0,TWIN PEAKS
COLE ELEMENTARY,88,84,95,3,0,1,0,HIGHLAND
NORTH VERDEMONT ELEMENTARY,88,84,95,2,0,2,0,SAN BERNARDINO
ENVIRONMENTAL ACADEMY OF RESEARCH TECHNOLOGY AND EARTH SCIENCES,88,79,90,6,0,3,1,NEWBURY PARK
WALNUT ELEMENTARY,88,74,84,13,0,1,0,NEWBURY PARK
WESTLAKE ELEMENTARY,88,81,92,2,0,5,0,WESTLAKE VILLAGE
BEN LOMOND ELEMENTARY,87,80,92,6,0,1,1,COVINA
KELSO -WILLIAM H.- ELEMENTARY,87,67,77,20,0,0,0,INGLEWOOD
FREMONT ELEMENTARY,87,75,86,7,0,5,0,LONG BEACH
LOS CERRITOS ELEMENTARY,87,63,72,24,0,0,0,LONG BEACH
PRISK ELEMENTARY,87,80,92,6,0,1,0,LONG BEACH
CAMINO NUEVO ELEMENTARY NO. 3,87,76,87,11,0,0,0,LOS ANGELES
OVERLAND AVENUE ELEMENTARY,87,56,64,31,0,0,0,LOS ANGELES
MAYALL STREET ELEMENTARY,87,83,95,4,0,0,0,NORTH HILLS
MARQUEZ CHARTER,87,57,66,24,0,6,0,PACIFIC PALISADES
VISTA DEL VALLE DUAL LANGUAGE ACADEMY,87,83,95,3,0,1,0,SAN FERNANDO
HELEN KELLER ELEMENTARY,87,80,92,7,0,0,0,LYNWOOD
WILD ROSE ELEMENTARY,87,86,99,0,0,1,1,MONROVIA
FREMONT ELEMENTARY,87,84,97,3,0,0,0,MONTEBELLO
JEFFERSON ELEMENTARY,87,82,94,4,0,1,0,PASADENA
CARL E. GILBERT ELEMENTARY,87,87,100,0,0,0,0,BUENA PARK
JOURNEY,87,33,38,0,0,54,3,ALISO VIEJO
CONCORDIA ELEMENTARY,87,73,84,3,0,11,1,SAN CLEMENTE
BUENA TERRA ELEMENTARY,87,87,100,0,0,0,0,BUENA PARK
TWINHILL ELEMENTARY,87,86,99,0,0,1,0,RIVERSIDE
SEA VIEW ELEMENTARY,87,83,95,2,0,2,1,SALTON CITY
BENJAMIN FRANKLIN ELEMENTARY,87,85,98,0,0,2,0,LA QUINTA
HONEY HOLLOW ELEMENTARY,87,79,91,8,0,0,0,MORENO VALLEY
RUTH BROWN ELEMENTARY,87,75,86,12,0,0,0,BLYTHE
ONAGA ELEMENTARY,87,85,98,1,0,1,0,YUCCA VALLEY
