"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"C M Travel & Tours Inc","La Puente, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=SmbTy665DX8=&DOCKET=tYQaT4Y8OnA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1730007"
"Cali Party Bus","San Diego, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=33awWzhsXa0=&DOCKET=oKu+4nEPVPk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1685140"
"California Excursions & Transportation, Inc.","Inglewood, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=pLyOa1QQMmI=&DOCKET=w4Q9SMvMAC4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=380692"
"California Omnibus Charter Llc","San Diego, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=uamazY5BF0U=&DOCKET=iNOgL8KpSeA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2393931"
"California Sight Seers Inc","Huntington Park, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=NYpKBW1awfc=&DOCKET=YMj8LrSz5fA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1660711"
"California South Line Tours","Corona, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Sh+gG935L4E=&DOCKET=LGgiE59Ffd0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1161107"
"California Touch Of Class","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=kUyLl3aYzkU=&DOCKET=0SpVm9xaW/A=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=349567"
"California Wine Tours, Inc.","Napa, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=+LEV+fAk08k=&DOCKET=OdEfXJQy9tY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=800912"
"Cardiff Transportation","Palm Desert, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=e9OWz5cnS7Q=&DOCKET=KeSjMYklHKk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=611358"
"Carreras Tours Llc","Chino, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=VngPCQXuXgM=&DOCKET=Skz2PTvWMmw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1709343"
