time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,XP,7,7721,Diego Rivera Learning Complex Performing Arts ,S,9-12,2018,138,24%,58%,9%,9%
April SY 14-15,XP,7,8867,Diego Rivera Learning Complex Public Service Community ,S,9-12,2017,111,78%,10%,10%,2%
April SY 14-15,XP,7,8867,Diego Rivera Learning Complex Public Service Community ,S,9-12,2018,171,66%,21%,9%,4%
April SY 14-15,XP,1,8600,Dorsey Senior High ,S,9-12,2017,277,30%,17%,14%,39%
April SY 14-15,XP,1,8600,Dorsey Senior High ,S,9-12,2018,301,53%,24%,18%,6%
April SY 14-15,E,2,8738,Downtown Business High School ,SS,9-12,2017,245,81%,13%,3%,2%
April SY 14-15,E,2,8738,Downtown Business High School ,SS,9-12,2018,315,64%,29%,7%,0%
April SY 14-15,E,7,7722,Dr Maya Angelou Comm Hs Social Justice:Fine & Performing Art ,S,9-12,2017,304,38%,23%,10%,30%
April SY 14-15,E,7,7722,Dr Maya Angelou Comm Hs Social Justice:Fine & Performing Art ,S,9-12,2018,328,38%,38%,18%,6%
April SY 14-15,E,5,8614,Eagle Rock Senior High ,EJ,7-12,2017,420,61%,12%,8%,19%
April SY 14-15,E,5,8614,Eagle Rock Senior High ,EJ,7-12,2018,461,67%,29%,2%,2%
April SY 14-15,S,7,8578,Eagle Tree Continuation High ,C,9-12,2017,4,25%,25%,25%,25%
April SY 14-15,S,7,8578,Eagle Tree Continuation High ,C,9-12,2018,1,0%,0%,100%,0%
April SY 14-15,XP,2,8710,Early College Academy - La Trade Tech College ,S,10-12,2017,20,0%,5%,5%,90%
April SY 14-15,XP,2,8710,Early College Academy - La Trade Tech College ,S,10-12,2018,1,0%,100%,0%,0%
April SY 14-15,XP,6,8607,East Valley Senior High ,S,9-12,2017,178,35%,15%,8%,42%
April SY 14-15,XP,6,8607,East Valley Senior High ,S,9-12,2018,147,50%,35%,4%,10%
April SY 14-15,XP,2,8544,Edward R Roybal Learning Center ,S,9-12,2017,295,60%,15%,10%,15%
April SY 14-15,XP,2,8544,Edward R Roybal Learning Center ,S,9-12,2018,283,52%,31%,13%,3%
April SY 14-15,XP,2,7772,Ela Renaissance Academy At Esteban Torres High School ,S,9-12,2017,106,55%,21%,11%,13%
April SY 14-15,XP,2,7772,Ela Renaissance Academy At Esteban Torres High School ,S,9-12,2018,110,55%,29%,15%,0%
April SY 14-15,S,5,3548,Elizabeth Learning Center ,EJ,K-12,2017,186,70%,14%,6%,10%
April SY 14-15,S,5,3548,Elizabeth Learning Center ,EJ,K-12,2018,196,76%,17%,6%,1%
April SY 14-15,W,1,8930,Ellington Continuation High ,C,9-12,2017,10,0%,0%,30%,70%
April SY 14-15,W,1,8930,Ellington Continuation High ,C,9-12,2018,3,0%,0%,0%,100%
April SY 14-15,XP,2,7773,Engineer & Technology Academy At Esteban Torres High School ,S,9-12,2017,101,81%,12%,5%,2%
April SY 14-15,XP,2,7773,Engineer & Technology Academy At Esteban Torres High School ,S,9-12,2018,120,66%,28%,7%,0%
April SY 14-15,XP,2,8606,Esteban Torres East La Performing Arts Magnet ,SS,9-12,2017,136,51%,10%,17%,21%
April SY 14-15,XP,2,8606,Esteban Torres East La Performing Arts Magnet ,SS,9-12,2018,70,80%,10%,7%,3%
April SY 14-15,N,6,8876,Evergreen Continuation High ,C,9-12,2017,11,0%,27%,18%,55%
